,Date,LSTM,XGBoost,ARIMA,SARIMA,Maximum_capacity,Maximum_capacity_wo_import
99,2031-04,29918.47805404663,27083.224609375,33164.67591660409,34525.264110586446,49144.8,42909.9
100,2031-05,29442.20310252905,26922.73828125,33096.90356616216,34056.09295896295,49144.8,42909.9
101,2031-06,28966.61714529991,26914.5234375,32245.097451802485,33347.66436756523,49144.8,42909.9
102,2031-07,28505.333358943462,27028.447265625,31580.195404543007,32670.90091997999,49144.8,42909.9
103,2031-08,27638.16467270255,26806.9609375,31600.492483808397,32443.08322266653,49144.8,42909.9
104,2031-09,27617.189122617245,26829.314453125,31640.55797092775,32155.350399530194,49144.8,42909.9
105,2031-10,28187.52392840385,26803.8671875,31423.753683325336,31785.366367195653,49144.8,42909.9
106,2031-11,26238.84760761261,26831.822265625,31593.936459072043,32225.47893190252,49144.8,42909.9
107,2031-12,26466.31965225935,26737.615234375,31094.281517457304,31341.250443247245,49144.8,42909.9
108,2032-01,27723.978489279747,26739.04296875,30861.264025047036,31467.39909928961,49144.8,42909.9
109,2032-02,29269.92023897171,26739.04296875,31646.834331160564,32185.77976151624,49144.8,42909.9
110,2032-03,31384.72964811325,26737.615234375,32893.18469079942,34128.630988564495,49144.8,42909.9
111,2032-04,29418.97196662426,26714.90625,33642.817823472564,34980.90845256992,49144.8,42909.9
112,2032-05,29462.25621271133,26714.90625,33575.36962298017,34511.73730094643,49144.8,42909.9
113,2032-06,29207.491869807243,26848.765625,32728.28523609716,33803.308709548706,49144.8,42909.9
114,2032-07,28651.979937314987,26818.595703125,32067.05659342026,33126.54526196347,49144.8,42909.9
115,2032-08,27657.005712151527,26677.9375,32087.183863509374,32898.727564650006,49144.8,42909.9
116,2032-09,27194.70320606232,26677.9375,32126.968666999634,32610.99474151367,49144.8,42909.9
117,2032-10,27968.78617888689,26820.8203125,31911.324459274394,32241.01070917913,49144.8,42909.9
118,2032-11,27016.41063466668,26808.263671875,32080.49674499702,32681.123273885994,49144.8,42909.9
119,2032-12,27081.958734095097,26798.755859375,31583.58837582819,31796.89478523072,49144.8,42909.9
