Date,XGBoost,LSTM,LASSO,Actual
2008-10,20597.525,21905.864346802235,20914.60239410005,20711.4
2008-11,20140.254,21590.61675107479,20931.82372309373,20200.9
2008-12,18467.781,21781.4671138525,20949.045057991865,18394.1
2009-01,18708.867,22387.268771111965,21773.435488574803,18602.9
2009-02,20604.164,22998.14793643356,21768.99986738041,20753.6
2009-03,21313.06,23416.65327553451,21764.56424952653,21318.1
2009-04,21914.432,23035.33661417663,21925.841656986657,22044.9
2009-05,20865.299,22930.37366269529,21942.511727630637,20827.5
2009-06,20882.201,23028.10362493992,21938.076109776743,20844.8
2009-07,20756.855,23194.46910378337,21845.50678167148,20505.7
2009-08,20833.129,23470.14054577053,21841.07116047709,21257.9
2009-09,20886.8,23421.492458045483,21857.74123355704,20957.4
2009-10,20806.324,22998.33522048593,21471.37668001021,21020.0
2009-11,20817.102,23224.10218891501,21466.941058815828,21804.2
2009-12,20898.438,23526.94063349068,21462.50544096194,20885.6
2010-01,20984.834,23727.82243129611,22494.68599697306,20969.5
2010-02,21451.049,23698.50218966604,22490.754664423373,21872.3
2010-03,22448.756,23754.243199259043,22486.82333777814,23304.05
2010-04,23820.082,23901.311034858227,22803.82149300009,23897.72
2010-05,23888.512,24239.182148441672,22715.76890538384,24009.9
2010-06,23182.44,24816.74097493291,22711.83757873861,23237.3
2010-07,22821.854,25650.892274081707,22751.102248181476,22865.5
2010-08,21929.61,25788.24956345558,22747.17091563178,21893.42
2010-09,22079.107,24523.22545135021,22659.11833391999,22214.97
2010-10,21824.812,24328.925566919148,22360.69555674824,21774.48
2010-11,22155.482,24985.79556261003,22356.76422419855,22294.75
2010-12,22221.293,24936.16093635559,22352.832897553315,22302.2
2011-01,21300.035,25091.48483330012,22732.10334971924,21288.3
2011-02,22108.395,25951.47341826558,22760.319150196323,22206.9
2011-03,22531.354,24890.46402324736,22788.534951449947,23156.33
2011-04,23283.674,24344.9049192369,23215.169340433597,23322.12
2011-05,23688.508,25594.82536385953,23142.077822981053,23900.21
2011-06,23071.852,26857.55445498228,23170.293624234677,23029.24
2011-07,23233.19,26844.450374484062,23216.000623707187,23351.35
2011-08,23235.361,26855.13506156206,23244.21642418428,23442.5
2011-09,22310.732,25179.69008257985,23171.12490750828,22808.58
2011-10,21987.303,24904.321856111288,23212.15956852097,22062.1
2011-11,21014.715,25566.29052823782,23240.37536899806,20954.6
2011-12,21139.559,26162.119441598654,23268.59117025168,21104.9
2012-01,22282.77,25764.53676462173,24062.482121451743,22251.1
2012-02,23452.396,26143.611029177904,24053.830670673036,23554.4
2012-03,24498.195,24660.898485809565,24045.179223234816,24571.51
2012-04,25945.799,24166.68218369037,24296.73768058493,26121.1
2012-05,25118.791,25456.17040702701,24204.869504364025,25207.27
2012-06,23981.824,27476.12730193138,24196.218056925813,23927.3
2012-07,23871.863,27561.51511323452,24252.600003116127,23932.6
2012-08,24041.088,27058.6281529963,24243.948552337413,24155.7
2012-09,23983.197,25581.539143025875,24152.08037945701,24009.3
2012-10,24010.27,25347.722257599235,23668.499653065115,24131.33
2012-11,23988.023,25885.453152000904,23659.848202286405,24657.91
2012-12,23970.666,25979.09016636014,23651.19675484819,24073.85
2013-01,23401.234,25873.21031436324,24193.25529966186,23390.78
2013-02,24547.072,26678.411191940308,24210.13354616816,24589.4
2013-03,26223.215,26552.37799322605,24227.011792674457,26422.97
2013-04,26039.275,25837.220122665167,24651.310973653148,26324.61
2013-05,25219.748,26692.92596977949,24606.078186555613,26598.14
2013-06,24937.176,27604.294483721256,24622.95643306191,25038.04
2013-07,24462.639,27100.137684851885,24718.26981868615,24568.41
2013-08,24017.645,26133.8862388134,24735.14806519244,23941.68
2013-09,24222.53,26530.84349256754,24689.915277190372,24363.69
2013-10,23323.7,26742.053742080927,24343.60482707336,23741.5
2013-11,22842.104,26278.286199897528,24360.483073579657,24251.18
2013-12,22939.467,26480.97133210301,24377.361320085947,22905.22
2014-01,22635.875,26641.259839117527,25142.39805465573,22556.93
2014-02,23584.906,26384.95607405901,25149.447790048733,23658.59
2014-03,23589.203,26182.97787320614,25156.49752800569,26105.94
2014-04,24551.592,26486.2622384727,25507.44059424933,26942.1
2014-05,26288.416,26761.59406325221,25459.314022555667,26473.3
2014-06,26175.441,26900.610794842243,25466.363760512628,26253.29
2014-07,24957.613,27187.3648365736,25540.15854090265,25017.19
2014-08,24668.143,27274.29945588112,25547.208276295656,24623.74
2014-09,24660.332,26881.14063924551,25499.08170716594,24785.24
2014-10,24895.734,27008.168817460537,25066.53383051227,24181.13
2014-11,24900.531,26835.18878242373,25073.583565905275,24961.8
2014-12,24907.895,26837.37367510796,25080.63330386223,24493.26
2015-01,23814.244,27189.075979739428,25366.96985774856,23769.0
2015-02,24187.373,27245.49332216382,25375.404193333605,24629.5
2015-03,25873.746,27565.638263970613,25383.83852814211,26072.1
2015-04,25956.613,26777.63111752272,25754.44844935557,27139.0
2015-05,27089.14,27054.54456931353,25789.4156545252,27198.4
2015-06,27264.059,27330.4983881712,25797.849989333707,27345.8
2015-07,25936.05,27242.016169518232,25847.99997505571,26049.5
2015-08,25950.277,27867.520372867584,25856.43431064075,26027.8
2015-09,25594.826,27966.23595041037,25891.40151412932,25676.6
2015-10,25128.926,27885.890036821365,25463.744801326317,25044.8
2015-11,25727.564,27538.976664543152,25472.179136911363,25956.7
2015-12,25676.434,27135.85433632136,25480.61347171986,25722.3
2016-01,25297.578,27106.42409828305,26034.90757379197,25312.3
2016-02,25153.646,26788.192882955074,26037.91110930604,25103.51
2016-03,27051.758,26715.766446977854,26040.914648160608,27242.0
2016-04,29269.318,27637.967628777027,26392.43065364229,29403.7
2016-05,29439.777,27871.364180207253,26390.007011410133,29618.8
2016-06,26540.5,29182.626350820065,26393.01055026469,26471.0
2016-07,25497.887,29866.62833225727,26472.124625125576,25475.0
2016-08,26108.627,29418.72190284729,26475.12816063964,26329.0
2016-09,25817.375,29216.149141073227,26472.70452174797,25790.6
2016-10,25950.229,28228.902625203133,26012.788077662262,26014.6
2016-11,25963.57,27871.593141555782,26015.791613176327,26145.3
2016-12,25309.258,27656.7334908247,26018.79515203089,25272.0
2017-01,25409.213,27264.85691049695,26276.01544607363,25390.4
2017-02,26680.432,27299.692535579205,26293.72269043449,26240.0
2017-03,27232.434,27753.789362370968,26311.42993557189,27326.0
2017-04,27571.287,28065.823058247566,26662.50387027057,27708.0
2017-05,27049.385,28851.30081486702,26660.612973373078,28578.0
2017-06,26609.941,30083.55496585369,26678.32021851048,26747.2
2017-07,26205.79,30907.46604782343,26768.06705146492,26130.0
