Date,Year,Population,Temperature,CPI,GDP,Peak
2006-03,-0.5999999999999943,-0.23933855526545145,-0.012026456990945178,-0.3847920602208248,-0.4438970389822243,-0.3003841373856062
2006-04,-0.5999999999999943,-0.25123295735422246,-0.005411902579179895,-0.3847920602208248,-0.5439484175452005,-0.32450570556999203
2006-05,-0.5999999999999943,-0.2631273559617071,0.0012026446167148208,-0.4438520224396254,-0.5439484175452005,-0.2643204157722292
2006-06,-0.5999999999999943,-0.2750217580504817,0.007817199028483657,-0.4438520224396254,-0.5439484175452005,-0.3349000112981586
2006-07,-0.5999999999999943,-0.2869161601392527,0.014431753440252493,-0.4438520224396254,-0.5321598697936634,-0.37997966331487953
2006-08,-0.5999999999999943,-0.29881055874673734,0.021046300636147208,-0.4438520224396254,-0.5321598697936634,-0.39925432154558793
2006-09,-0.5999999999999943,-0.3107049608355119,0.02766085504791249,-0.5029119846584265,-0.5321598697936634,-0.3604112529657666
2006-10,-0.5999999999999943,-0.32259936292428293,0.03427540945968133,-0.5029119846584265,-0.32729986473178796,-0.3786238843068581
2006-11,-0.5999999999999943,-0.3344937615317676,0.04088995665557604,-0.5029119846584265,-0.32729986473178796,-0.33441419048695087
2006-12,-0.5999999999999943,-0.34638816362054214,0.04750451106734488,-0.5029119846584265,-0.32729986473178796,-0.3741385154219863
2007-01,-0.5,-0.20626631853786037,-0.09079976056428052,-0.36346485180586896,-0.2783568255104396,-0.41223590554739564
2007-02,-0.5,-0.21235857267188862,-0.08478652665689879,-0.36346485180586896,-0.2783568255104396,-0.31754603999548037
2007-03,-0.5,-0.21845082680592043,-0.07877329996539473,-0.36346485180586896,-0.2783568255104396,-0.14037961812224609
2007-04,-0.5,-0.22454308093994868,-0.07276007327389067,-0.36346485180586896,-0.41684821222130797,-0.0923624449214775
2007-05,-0.5,-0.23063533507398049,-0.06674683936650894,-0.3913542780810806,-0.41684821222130797,-0.24511354649192185
2007-06,-0.5,-0.23672758920800874,-0.060733612675001325,-0.3913542780810806,-0.41684821222130797,-0.20880126539374055
2007-07,-0.5,-0.24281984334204054,-0.054720385983497266,-0.3913542780810806,-0.3991005568571353,-0.339758219410236
