,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
all_flags,Population005CPI2GDP2,Population005CPI3GDP2,Population005CPI4GDP2,Population01CPI2GDP2,Population01CPI3GDP2,Population01CPI4GDP2,Population015CPI2GDP2,Population015CPI3GDP2,Population015CPI4GDP2,Population005CPI2GDP3,Population005CPI3GDP3,Population005CPI4GDP3,Population01CPI2GDP3,Population01CPI3GDP3,Population01CPI4GDP3,Population015CPI2GDP3,Population015CPI3GDP3,Population015CPI4GDP3,Population005CPI2GDP4,Population005CPI3GDP4,Population005CPI4GDP4,Population01CPI2GDP4,Population01CPI3GDP4,Population01CPI4GDP4,Population015CPI2GDP4,Population015CPI3GDP4,Population015CPI4GDP4
2026-10,26664.8125,26664.8125,26664.8125,26761.212890625,26761.212890625,26761.212890625,26891.99609375,26891.99609375,26891.99609375,26664.8125,26664.8125,26664.8125,26761.212890625,26761.212890625,26761.212890625,26891.99609375,26891.99609375,26891.99609375,26664.8125,26664.8125,26664.8125,26761.212890625,26761.212890625,26761.212890625,26891.99609375,26891.99609375,26891.99609375
2026-11,26662.728515625,26662.728515625,26662.728515625,26759.119140625,26759.119140625,26759.119140625,26700.18359375,26700.18359375,26700.18359375,26662.728515625,26662.728515625,26662.728515625,26759.119140625,26759.119140625,26759.119140625,26700.18359375,26700.18359375,26700.18359375,26662.728515625,26662.728515625,26662.728515625,26759.119140625,26759.119140625,26759.119140625,26700.18359375,26700.18359375,26700.18359375
2026-12,26709.912109375,26709.912109375,26709.912109375,26832.0,26832.0,26832.0,26731.318359375,26731.318359375,26731.318359375,26709.912109375,26709.912109375,26709.912109375,26832.0,26832.0,26832.0,26731.318359375,26731.318359375,26731.318359375,26709.912109375,26709.912109375,26709.912109375,26832.0,26832.0,26832.0,26731.318359375,26731.318359375,26731.318359375
2027-01,25541.6953125,25541.6953125,25541.6953125,25813.681640625,25813.681640625,25813.681640625,25649.21875,25649.21875,25649.21875,25541.6953125,25541.6953125,25541.6953125,25813.681640625,25813.681640625,25813.681640625,25649.21875,25649.21875,25649.21875,25541.6953125,25541.6953125,25541.6953125,25813.681640625,25813.681640625,25813.681640625,25649.21875,25649.21875,25649.21875
2027-02,25485.123046875,25485.123046875,25485.123046875,25756.5078125,25756.5078125,25756.5078125,25585.455078125,25585.455078125,25585.455078125,25485.123046875,25485.123046875,25485.123046875,25756.5078125,25756.5078125,25756.5078125,25585.455078125,25585.455078125,25585.455078125,25485.123046875,25485.123046875,25485.123046875,25756.5078125,25756.5078125,25756.5078125,25585.455078125,25585.455078125,25585.455078125
2027-03,25515.3515625,25515.3515625,25515.3515625,25782.90234375,25782.90234375,25782.90234375,25655.212890625,25655.212890625,25655.212890625,25515.3515625,25515.3515625,25515.3515625,25782.90234375,25782.90234375,25782.90234375,25655.212890625,25655.212890625,25655.212890625,25515.3515625,25515.3515625,25515.3515625,25782.90234375,25782.90234375,25782.90234375,25655.212890625,25655.212890625,25655.212890625
2027-04,26681.677734375,26681.677734375,26681.677734375,27058.18359375,27058.18359375,27058.18359375,26941.025390625,26941.025390625,26941.025390625,26681.677734375,26681.677734375,26681.677734375,27058.18359375,27058.18359375,27058.18359375,26941.025390625,26941.025390625,26941.025390625,26681.677734375,26681.677734375,26681.677734375,27058.18359375,27058.18359375,27058.18359375,26941.025390625,26941.025390625,26941.025390625
2027-05,26444.037109375,26444.037109375,26444.037109375,26807.90625,26807.90625,26807.90625,26731.67578125,26731.67578125,26731.67578125,26444.037109375,26444.037109375,26444.037109375,26807.90625,26807.90625,26807.90625,26731.67578125,26731.67578125,26731.67578125,26444.037109375,26444.037109375,26444.037109375,26807.90625,26807.90625,26807.90625,26731.67578125,26731.67578125,26731.67578125
2027-06,26421.98046875,26421.98046875,26421.98046875,26774.896484375,26774.896484375,26774.896484375,26705.021484375,26705.021484375,26705.021484375,26421.98046875,26421.98046875,26421.98046875,26774.896484375,26774.896484375,26774.896484375,26705.021484375,26705.021484375,26705.021484375,26421.98046875,26421.98046875,26421.98046875,26774.896484375,26774.896484375,26774.896484375,26705.021484375,26705.021484375,26705.021484375
2027-07,26368.740234375,26368.740234375,26368.740234375,26720.9453125,26720.9453125,26720.9453125,26731.39453125,26731.39453125,26731.39453125,26368.740234375,26368.740234375,26368.740234375,26720.9453125,26720.9453125,26720.9453125,26731.39453125,26731.39453125,26731.39453125,26368.740234375,26368.740234375,26368.740234375,26720.9453125,26720.9453125,26720.9453125,26731.39453125,26731.39453125,26731.39453125
